item_name,qty,price,category,date
bread,1,7.5,food,2025-03-27 17:02:19.646683
milk,1,5.6,food,2025-03-27 17:02:49.801132
tomato,1,5.6,food,2025-03-27 17:04:47.266056
tomato,1,5.6,food,2025-03-27 17:07:34.983741
tomato,1,5.6,food,2025-03-27 17:10:19.687479
דםגש,6,20.0,food,2025-03-27 17:20:37.078091
soda,6,20.0,food,2025-03-27 17:46:34.447899
bread,1,5.6,food,2025-03-27 18:15:02.694677
milk,1,5.6,food,2025-03-27 23:57:17.853646
bread,1,7.5,food,2025-03-29 22:14:54.262751
חלב,1,6.5,אוכל,2025-03-30 00:34:26.016431
חלב,1,6.5,אוכל,2025-03-30 12:52:30.093037
חלב,1,5.6,food,2025-03-30 13:12:17.213001
טיטןלים,1,50.0,תינוקות,2025-03-30 13:12:48.244999
טיטולים,1,50.0,תינוקות,2025-03-30 13:13:06.993052
